ルールID	カテゴリ	項目	対象・モード	基準単位	現状ルール	計算式・設定値	丸め・量子化	起点・停止・再開	同一フレーム処理	検証状態	実装状態	未調査・備考
TIME_GAME_FPS	時間基準	ゲーム内1秒	全体	ゲームF	ゲーム内時間は60Fを1秒として扱う	1ゲーム秒=60ゲームF	なし	戦闘開始0F	-	確認済	実装済	-
TIME_INTERNAL_TICK	時間基準	内部時刻精度	DPSシミュレーター	内部tick	1ゲームFを10tickへ分割して保持する	1ゲームF=10tick、1tick=0.1ゲームF	フレーム入力をtickへ変換するときMath.round	戦闘開始0tick	同一tickを同一時刻として処理	設計値	実装済	生成済みskillmotionは現在整数ゲームFのため、主に将来の小数F用
TIME_SPEED_1	戦闘速度	▶速度	録画FからゲームFへの換算	倍率	戦闘時計は実時間に対して約1.30倍で進む	ゲームF=録画F×1.30	生成時に最終結果を0.5切り上げ	録画開始位置は検証ごとに記録	-	長期実測済	実装済	03:00→00:00が8307録画F、約46.15録画F/戦闘秒
TIME_SPEED_2	戦闘速度	▶▶速度	録画FからゲームFへの換算	倍率	戦闘時計は実時間に対して約1.69倍で進む	ゲームF=録画F×1.69	生成時に最終結果を0.5切り上げ	録画開始位置は検証ごとに記録	-	長期実測済	実装済	03:00→01:30が3196録画F、約35.51録画F/戦闘秒
TIME_SPEED_3	戦闘速度	▶▶▶速度	録画FからゲームFへの換算	倍率	戦闘時計は実時間に対して約1.95倍で進む	ゲームF=録画F×1.95	生成時に最終結果を0.5切り上げ	録画開始位置は検証ごとに記録	-	長期実測済	実装済	03:00→01:00が3692録画F、約30.77録画F/戦闘秒
TIME_SOURCE_GAME_F	入力正規化	ゲームF入力	skillmotion生成	ゲームF	入力値をそのままゲームFとして扱う	gameFrames=入力値	0.5切り上げで整数化	入力行ごと	-	仕様確定	実装済	元値と単位も生成物に保持
TIME_SOURCE_SECONDS	入力正規化	ゲーム秒入力	skillmotion生成	ゲーム秒	秒を60倍してゲームFへ変換する	gameFrames=秒×60	0.5切り上げで整数化	入力行ごと	-	仕様確定	実装済	-
TIME_SOURCE_RECORD	入力正規化	録画F入力	skillmotion生成	録画F@速度	計測時の速度倍率を掛けてゲームFへ変換する	gameFrames=録画F×速度倍率	DecimalのROUND_HALF_UP、0.5切り上げ	入力行ごと	-	仕様確定	実装済	速度倍率を更新した場合は再生成する
TIME_MISSING	入力正規化	空欄・未調査	skillmotion生成	-	空欄、単位未記入、未調査は0へ変換しない	gameFrames=null	丸めなし	-	-	仕様確定	実装済	必要項目不足の使徒はincompleteApostlesへ記録
TIME_DURATION	持続時間	秒指定の期限	バフ・デバフ	ゲームF	持続時間はゲーム内時間の単一期限として保持する	期限F=付与F+持続秒×60	途中の1秒ごとの切り上げはしない	効果発生Fから開始	一般効果の期限と命中が同時の場合は未調査	6秒実測で支持	一部実装	6秒@▶は360/1.3=276.923…のため録画277Fで消失を観測
